eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age
8,14,3/11/94,Royce Gracie,Remco Pardoel,win,loss,19,33,Submission,1,1:31,4,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,33,74,250,Holland,75,260,,Southpaw,0,0,0,0,0,0,0,0,0,27.24435318,
8,13,3/11/94,Johnny Rhodes,Patrick Smith,loss,win,27,21,Submission,1,1:07,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,27,72,210,United States,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,21,74,225,United States,74,225,,Orthodox,0,0,0,0,0,0,0,0,0,,30.65297741
8,12,3/11/94,Royce Gracie,Jason DeLucia,win,loss,19,22,Submission,1,1:07,5,5,0,5,0,1,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,22,71,190,United States,71,190,,Southpaw,0,0,0,0,0,0,0,0,0,27.24435318,24.62970568
8,12,3/11/94,Royce Gracie,Jason DeLucia,win,loss,19,22,Submission,1,1:07,5,5,0,5,0,1,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,22,71,190,United States,71,190,,Southpaw,0,0,0,0,0,0,0,0,0,27.24435318,24.62970568
8,11,3/11/94,Remco Pardoel,Orlando Wiet,win,loss,33,31,KO,1,1:29,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,74,250,Holland,75,260,,Southpaw,0,0,0,0,0,0,0,0,0,31,70,170,France,70,170,,Southpaw,0,0,0,0,0,0,0,0,0,,28.37782341
8,10,3/11/94,Johnny Rhodes,Fred Ettish,win,loss,27,36,Submission,1,3:07,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,72,210,United States,72,210,,Orthodox,0,0,0,0,0,0,0,0,0,36,72,180,United States,72,180,,Southpaw,0,0,0,0,0,0,0,0,0,,38.41204654
8,9,3/11/94,Patrick Smith,Scott Morris,win,loss,21,24,KO,1,0:30,3,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,21,74,225,United States,74,225,,Orthodox,0,0,0,0,0,0,0,0,0,24,72,210,United States,70,210,,Orthodox,0,0,0,0,0,0,0,0,0,30.65297741,
8,8,3/11/94,Minoki Ichihara,Royce Gracie,loss,win,35,19,Submission,1,5:08,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,35,67,178,Japan,67,178,,Orthodox,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,,27.24435318
8,8,3/11/94,Minoki Ichihara,Royce Gracie,loss,win,35,19,Submission,1,5:08,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,35,67,178,Japan,67,178,,Orthodox,0,0,0,0,0,0,0,0,0,19,72,176,Brazil,73,175,,Southpaw,0.88,0.41,1.13,0.37,0,0,0.66,0.8,4.25,,27.24435318
8,7,3/11/94,Jason DeLucia,Scott Baker,win,loss,22,34,Submission,1,6:41,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,22,71,190,United States,71,190,,Southpaw,0,0,0,0,0,0,0,0,0,34,72,210,United States,72,210,,,0,0,0,0,0,0,0,0,0,24.62970568,
