,eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age,result,Age,Reach,weight,height,fightdif,windif,lossdif,subdif,KOdif,Decdif,subldif,KOldif,Decldif,subavg,decexp,subexp,KOexp
2994,42205,6,6/13/15,Henry Cejudo,Chico Camus,win,loss,125297,42850,Decision,3,5:00,2,2,0,2,0,6,3,2,1,0,0,0,2,0,0,0,0,0,3,1,0,1,125297,64.0,125.0,United States,64.0,125.0,64.0,Orthodox,3.87,0.42,2.7,0.71,2.12,0.31,1.0,0.2,11.33,42850,66.0,125.0,United States,66.0,125.0,66.0,Orthodox,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,8.38,28.3394935,30.37645448,1,-2.03696098,-2.0,0.0,-2.0,-4,-1,-2,0,0,-1,-1,0,-1,-0.2,0,1,0
3013,42209,2,6/27/15,Tony Sims,Steve Montgomery,win,loss,30021,49092,KO,1,2:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30021,71.0,155.0,United States,71.0,155.0,70.0,Southpaw,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,6.26,49092,76.0,170.0,United States,76.0,185.0,75.0,Southpaw,4.85,0.39,4.12,0.47,0.0,0.0,0.64,0.0,10.47,29.70020534,24.52019165,1,5.180013689999999,-5.0,-15.0,-5.0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
1014,9250,7,2/21/09,Demian Maia,Chael Sonnen,win,loss,14637,4112,Submission,1,2:37,4,4,0,4,0,3,1,2,0,1,3,0,0,0,0,0,0,0,1,2,0,0,14637,72.0,170.0,Brazil,73.0,170.0,72.0,Southpaw,1.82,0.44,1.61,0.62,2.99,0.31,0.65,1.3,9.74,4112,73.0,205.0,United States,73.0,205.0,74.0,Southpaw,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,10.69,31.293634499999996,31.88774812,1,-0.5941136200000052,-2.0,-35.0,-1.0,1,3,-2,3,0,-1,-2,0,0,0.9,-1,5,0
1260,12390,5,5/8/10,Jonathan Goulet,Marcus Davis,loss,win,4120,8592,TKO,2,1:23,8,4,4,0,1,12,8,4,0,2,0,2,1,2,2,0,4,2,2,0,2,2,4120,72.0,169.0,Canada,72.0,170.0,73.0,Orthodox,1.61,0.41,2.0,0.46,4.17,0.7,0.45,0.6,10.4,8592,68.0,170.0,United States,70.0,170.0,70.0,Southpaw,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4,10.5,30.81998631,36.70362765,0,-5.8836413400000005,3.0,-1.0,4.0,-4,-4,0,-4,0,-1,2,0,-2,-0.7999999999999999,1,-6,0
1143,10444,13,9/19/09,Rich Franklin,Vitor Belfort,loss,win,392,156,TKO,1,3:02,15,12,3,1,0,10,6,4,0,2,1,8,3,0,2,1,0,6,0,0,2,2,392,73.0,185.0,United States,73.0,185.0,75.0,Southpaw,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,10.53,156,72.0,185.0,Brazil,72.0,185.0,74.0,Southpaw,1.56,0.46,2.78,0.5,1.13,0.6,0.53,0.7,8.26,34.95687885,32.46817248,0,2.4887063700000027,1.0,0.0,1.0,5,6,-1,1,2,3,0,0,-1,0.0,4,1,2
2710,37743,3,9/13/14,Francisco Trinaldo,Leandro Silva,win,loss,31103,86382,Decision,3,5:00,7,4,3,0,1,1,0,1,0,1,2,1,1,1,0,2,0,0,0,0,0,1,31103,68.0,155.0,Brazil,69.0,155.0,70.0,Southpaw,3.34,0.46,2.29,0.6,1.08,0.4,0.62,0.5,9.29,86382,70.0,170.0,Brazil,69.0,155.0,72.0,Orthodox,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,8.76,36.05475702,28.83778234,1,7.216974679999996,-2.0,-15.0,-2.0,6,4,2,2,1,1,1,0,1,0.09999999999999998,0,1,1
1254,12390,11,5/8/10,Lyoto Machida,Mauricio Rua,loss,win,7513,5707,KO,1,3:35,8,8,0,8,0,4,2,2,0,1,1,2,5,0,0,0,0,2,0,1,0,1,7513,73.0,185.0,Brazil,73.0,185.0,74.0,Southpaw,2.63,0.53,1.59,0.62,1.33,0.65,0.75,0.4,8.5,5707,73.0,205.0,Brazil,73.0,205.0,76.0,Orthodox,3.75,0.51,2.58,0.56,2.17,0.48,0.45,0.9,11.4,31.93976728,28.44900753,0,3.4907597500000023,-2.0,-20.0,0.0,4,6,-2,1,0,5,-1,0,-1,-0.5,6,2,0
1240,12184,3,4/10/10,Brad Blackburn,DaMarques Johnson,loss,win,2920,12913,TKO,3,2:08,4,3,1,0,1,2,1,1,1,0,0,1,2,0,0,1,1,0,0,1,0,0,2920,70.0,169.0,United States,70.0,170.0,73.0,Orthodox,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,12.03,12913,72.0,170.0,United States,73.0,170.0,75.0,Orthodox,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,9.36,32.87611225,27.78370979,0,5.092402459999999,-2.0,-1.0,-2.0,2,2,0,-1,1,2,-1,0,1,0.0,1,0,1
3263,47933,3,1/30/16,Randy Brown,Matt Dwyer,win,loss,115641,53933,Decision,3,5:00,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,115641,74.0,171.0,Jamaica,75.0,170.0,78.0,Orthodox,3.02,0.42,2.95,0.53,0.83,0.33,0.77,0.8,9.65,53933,76.0,168.0,Canada,76.0,170.0,76.0,Orthodox,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0,7.83,25.5633128,26.11909651,1,-0.55578371,2.0,3.0,-2.0,-3,-1,-2,0,-1,0,0,-1,-1,0.8,1,0,0
3209,47439,3,12/11/15,Mike Pierce,Ryan LaFlare,loss,win,25415,34409,Decision,3,5:00,13,9,4,0,1,5,4,1,0,1,1,3,5,1,0,3,0,0,4,0,0,1,25415,68.0,170.0,United States,68.0,170.0,70.0,Orthodox,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,10.43,34409,73.0,170.0,United States,73.0,170.0,74.0,Southpaw,3.16,0.38,1.91,0.63,2.61,0.52,0.64,0.3,10.15,35.27446954,32.19438741,0,3.080082130000001,-4.0,0.0,-5.0,8,5,3,1,3,1,1,0,2,-0.09999999999999998,-1,0,3
1386,14430,1,11/13/10,Kris McCray,Carlos Eduardo Rocha,loss,win,39432,35142,Submission,1,2:21,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39432,72.0,170.0,United States,72.0,170.0,76.0,Orthodox,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,10.06,35142,70.0,170.0,Brazil,70.0,170.0,70.0,Orthodox,1.24,0.34,1.85,0.55,0.0,0.0,0.52,1.4,5.9,29.13620808,29.33880903,0,-0.20260095000000078,6.0,0.0,2.0,1,0,1,0,0,0,1,0,0,-1.4,0,-1,0
2035,25825,3,4/27/13,Bryan Caraway,Johnny Bedford,win,loss,13791,19717,Submission,3,4:44,3,2,1,0,1,2,2,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,13791,69.0,135.0,United States,68.0,135.0,68.0,Orthodox,2.25,0.33,3.07,0.57,2.82,0.34,0.8,0.9,11.08,19717,69.0,135.0,United States,70.0,135.0,71.0,Orthodox,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,10.48,28.72826831,30.30527036,1,-1.5770020500000008,-3.0,0.0,0.0,1,0,1,2,-2,0,0,0,1,0.9,-1,2,-2
1762,19187,3,2/15/12,Vagner Rocha,Jonathan Brookins,loss,win,43107,17316,KO,1,1:32,2,1,1,1,0,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,43107,71.0,155.0,Brazil,70.0,155.0,73.0,Orthodox,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,12.17,17316,72.0,135.0,United States,72.0,145.0,73.0,Southpaw,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3,10.48,29.69472964,26.50787132,0,3.186858319999999,0.0,20.0,-1.0,0,0,0,1,0,-1,0,0,0,1.5999999999999999,-1,1,0
1356,14024,3,9/15/10,Rich Attonito,Rafael Natal,win,loss,11955,13968,Decision,3,5:00,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11955,70.0,170.0,United States,70.0,170.0,72.0,Orthodox,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,7.33,13968,72.0,185.0,Brazil,72.0,185.0,76.0,Orthodox,3.08,0.47,2.4,0.58,2.59,0.34,0.78,0.5,10.74,33.24845996,27.72347707,1,5.524982889999997,-4.0,-15.0,-2.0,1,1,0,0,1,0,0,0,0,-0.5,0,0,1
2823,40339,4,11/7/14,Richie Vaculik,Louis Smolka,loss,win,21798,64792,KO,3,0:18,2,1,1,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,21798,66.0,125.0,Australia,66.0,125.0,69.0,Orthodox,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0,13.57,64792,69.0,125.0,United States,69.0,125.0,68.0,Orthodox,4.17,0.48,2.93,0.55,1.97,0.36,0.38,2.6,13.44,31.38672142,23.31279945,0,8.07392197,1.0,0.0,-3.0,0,0,0,0,0,0,0,1,-1,-1.6,1,0,-1
1434,15104,5,2/5/11,Michihiro Omigawa,Chad Mendes,loss,win,13005,38393,Decision,3,5:00,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13005,66.0,145.0,Japan,66.0,145.0,68.0,Orthodox,2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,9.64,38393,66.0,145.0,United States,66.0,145.0,66.0,Orthodox,2.7,0.49,2.16,0.68,4.16,0.54,1.0,0.3,12.03,35.132101299999995,25.76591376,0,9.366187539999995,2.0,0.0,0.0,2,0,2,0,0,0,0,0,2,1.2,-2,0,0
2115,26333,8,3/3/13,Yushin Okami,Hector Lombard,win,loss,5569,11292,Decision,3,5:00,16,12,4,2,0,2,1,1,1,0,1,4,7,0,2,2,0,1,0,0,0,1,5569,74.0,185.0,Japan,74.0,185.0,72.0,Southpaw,2.23,0.38,2.2,0.62,1.88,0.47,0.84,0.5,9.12,11292,69.0,170.0,Cuba,69.0,185.0,71.0,Southpaw,2.77,0.44,3.4,0.51,2.0,0.48,0.81,0.6,11.01,31.61670089,35.08008214,1,-3.463381250000001,1.0,15.0,5.0,14,11,3,1,3,7,0,2,1,-0.09999999999999998,6,1,1
2451,33929,2,1/15/14,Vinc Pichel,Garett Whiteley,win,loss,57848,39261,Decision,3,5:00,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,57848,70.0,155.0,United States,70.0,155.0,72.0,Orthodox,3.13,0.51,2.51,0.51,7.44,0.69,0.16,0.5,15.45,39261,72.0,155.0,United States,72.0,155.0,72.0,Orthodox,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9,9.87,31.14579055,33.08966461,1,-1.9438740599999988,0.0,0.0,-2.0,0,0,0,0,0,0,0,0,0,-0.4,0,0,0
2052,26101,4,6/8/13,Leandro Silva,Ildemar Alcantara,loss,win,86382,22223,Decision,3,5:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,86382,70.0,170.0,Brazil,69.0,155.0,72.0,Orthodox,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,8.76,22223,74.0,185.0,Brazil,74.0,185.0,78.0,Orthodox,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,9.83,27.57289528,30.55715264,0,-2.984257360000001,-6.0,-15.0,-4.0,-1,-1,0,-1,0,0,0,0,0,-0.5,0,-1,0
2012,24707,7,12/15/12,Rousimar Palhares,Hector Lombard,loss,win,16286,11292,KO,1,3:38,10,7,3,0,1,1,0,1,0,1,5,0,2,0,2,1,0,0,0,0,0,1,16286,68.0,170.0,Brazil,68.0,170.0,71.0,Orthodox,1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1,13.37,11292,69.0,170.0,Cuba,69.0,185.0,71.0,Southpaw,2.77,0.44,3.4,0.51,2.0,0.48,0.81,0.6,11.01,32.81861739,34.86652977,0,-2.0479123799999996,0.0,0.0,-1.0,9,7,2,5,0,2,0,2,0,3.4999999999999996,2,5,-2
1853,20353,9,5/26/12,Stipe Miocic,Shane del Rosario,win,loss,39537,17393,TKO,2,3:14,2,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,39537,76.0,245.0,United States,76.0,240.0,80.0,Orthodox,5.03,0.5,3.26,0.62,2.14,0.35,0.72,0.0,12.62,17393,75.0,246.0,United States,76.0,250.0,79.0,Southpaw,3.93,0.6,2.97,0.54,1.2,0.4,0.16,2.4,12.2,29.76865161,28.67351129,1,1.0951403199999987,1.0,-1.0,1.0,2,2,0,0,1,1,0,0,0,-2.4,1,0,1
1051,9432,9,4/18/09,Brian Stann,Krzysztof Soszynski,loss,win,14829,9178,Submission,1,3:53,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14829,73.0,185.0,United States,73.0,205.0,74.0,Orthodox,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,8.08,9178,73.0,205.0,Canada,73.0,205.0,77.0,Open Stance,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0,9.95,28.56399726,31.70978782,0,-3.1457905599999982,-3.0,-20.0,0.0,-1,-1,0,-1,0,0,0,0,0,-0.7,0,-1,0
2116,26333,7,3/3/13,Mizuto Hirota,Rani Yahya,loss,win,12078,10425,Decision,3,5:00,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,12078,67.0,145.0,Japan,67.0,145.0,67.0,Orthodox,3.49,0.45,3.25,0.53,2.16,0.68,0.64,0.0,11.2,10425,66.0,135.0,Brazil,66.0,135.0,67.0,Orthodox,1.48,0.37,1.56,0.49,3.15,0.34,0.23,2.0,9.62,31.8275154,28.22997947,0,3.5975359299999994,0.0,10.0,1.0,-3,-2,-1,-1,0,-1,0,0,-1,-2.0,0,-1,0
1765,19325,10,6/1/12,Martin Kampmann,Jake Ellenberger,win,loss,5344,13068,TKO,2,1:40,14,10,4,2,0,7,6,1,6,0,5,1,4,0,2,2,0,4,2,0,0,1,5344,72.0,170.0,Denmark,72.0,170.0,72.0,Orthodox,3.22,0.42,3.28,0.62,1.86,0.41,0.78,2.0,12.59,13068,69.0,170.0,United States,69.0,170.0,71.0,Orthodox,2.42,0.38,2.67,0.61,2.08,0.5,0.86,0.4,9.92,30.12457221,27.17864476,1,2.9459274499999992,1.0,0.0,3.0,7,4,3,5,-3,2,0,2,1,1.6,1,5,-5
2339,31869,3,10/9/13,David Mitchell,Yan Cabral,loss,win,16830,27090,Decision,3,5:00,4,1,3,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,16830,72.0,185.0,United States,72.0,170.0,76.0,Orthodox,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0,8.12,27090,72.0,170.0,Brazil,71.0,155.0,73.0,Orthodox,2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2,9.9,33.96030116,30.40930869,0,3.5509924700000006,3.0,15.0,0.0,4,1,3,0,0,1,0,1,2,0.8,-1,0,-1
1942,22013,4,8/11/12,Jared Hamman,Michael Kuiper,loss,win,15949,42901,TKO,2,2:16,5,2,3,0,1,1,0,1,0,1,0,1,1,0,2,1,0,0,0,0,0,1,15949,75.0,205.0,United States,75.0,185.0,75.0,Orthodox,5.15,0.42,3.93,0.55,1.57,0.46,0.3,0.0,12.38,42901,72.0,192.0,Netherlands,72.0,185.0,73.0,Orthodox,3.28,0.54,3.62,0.54,2.3,0.55,0.79,0.0,11.62,30.4312115,23.17864476,0,7.252566739999999,2.0,13.0,3.0,4,2,2,0,1,1,0,2,0,0.0,1,0,-1
3103,42229,10,9/5/15,Frank Mir,Andrei Arlovski,loss,win,2329,270,Decision,3,5:00,25,16,9,2,0,17,13,4,6,0,5,5,2,0,7,2,2,9,2,0,3,1,2329,75.0,262.0,United States,75.0,264.0,79.0,Southpaw,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,11.83,270,76.0,241.0,Belarus,75.0,240.0,77.0,Orthodox,3.12,0.41,2.5,0.59,0.39,0.41,0.82,0.5,8.74,36.28473648,36.58316222,0,-0.298425739999999,2.0,21.0,-1.0,8,3,5,3,-4,0,0,4,1,1.5,-1,3,-8
2653,37359,10,7/16/14,Edson Barboza,Evan Dunham,win,loss,46259,22038,TKO,1,3:06,9,7,2,0,1,12,7,5,0,2,0,4,3,1,1,0,1,2,4,1,1,3,46259,71.0,155.0,Brazil,71.0,155.0,75.0,Orthodox,3.97,0.41,3.54,0.64,0.59,0.53,0.86,0.1,10.64,22038,70.0,155.0,United States,70.0,155.0,70.0,Southpaw,5.68,0.39,3.38,0.63,1.91,0.34,0.8,1.1,14.23,28.48186174,32.57494867,1,-4.093086929999998,5.0,0.0,1.0,-3,0,-3,-1,2,-1,0,0,-3,-1.0,2,-1,2
1353,14024,7,9/15/10,Cole Miller,Ross Pearson,win,loss,13133,11884,Submission,2,1:49,7,5,2,1,0,3,3,0,3,0,3,1,1,0,2,0,0,1,2,0,0,0,13133,73.0,145.0,United States,73.0,145.0,74.0,Orthodox,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,10.94,11884,68.0,155.0,England,68.0,155.0,69.0,Orthodox,3.54,0.41,3.57,0.64,0.86,0.38,0.75,0.0,10.15,26.38740589,25.96851472,1,0.4188911699999984,5.0,-10.0,5.0,4,2,2,3,0,-1,0,2,0,1.8,-1,3,-2
2044,26099,4,2/2/13,Jacob Volkmann,Bobby Green,loss,win,24765,27953,Submission,3,4:25,9,6,3,1,0,0,0,0,0,0,1,0,5,2,0,1,0,0,0,0,0,0,24765,69.0,170.0,United States,69.0,155.0,71.0,Southpaw,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0,10.02,27953,70.0,155.0,United States,70.0,155.0,71.0,Orthodox,4.38,0.48,3.16,0.66,1.22,0.33,0.81,0.3,11.34,32.41067762,26.40109514,0,6.009582480000002,0.0,15.0,-1.0,9,6,3,1,0,5,2,0,1,1.7,4,-1,0
3234,47783,12,1/17/16,Anthony Pettis,Eddie Alvarez,loss,win,26627,9265,Decision,3,5:00,7,5,2,0,1,2,1,1,1,0,2,2,1,0,0,2,0,0,1,0,0,1,26627,69.0,155.0,United States,70.0,145.0,72.0,Orthodox,2.62,0.42,2.69,0.57,0.78,0.52,0.6,1.1,9.3,9265,70.0,155.0,United States,69.0,155.0,69.0,Orthodox,3.43,0.42,3.28,0.59,3.58,0.38,0.92,0.5,13.1,28.97193703,32.0164271,0,-3.044490070000002,3.0,0.0,-1.0,5,4,1,2,2,0,0,0,1,0.6000000000000001,-1,2,2
3033,42213,4,7/12/15,Jerrod Sanders,Russell Doane,win,loss,48156,30054,Decision,3,5:00,2,0,1,0,0,3,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,48156,68.0,135.0,United States,68.0,135.0,72.0,Orthodox,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,7.75,30054,66.0,135.0,United States,67.0,135.0,70.0,Orthodox,1.92,0.41,1.69,0.56,2.44,0.43,0.56,1.0,9.01,34.776180700000005,28.91170431,1,5.864476390000004,2.0,0.0,2.0,-1,-2,0,0,0,-1,0,1,-1,0.6000000000000001,0,0,-1
3046,42215,2,7/15/15,Ildemar Alcantara,Kevin Casey,loss,win,22223,24121,Decision,3,5:00,6,4,2,1,0,2,0,1,0,0,1,0,3,0,0,2,0,0,0,0,1,0,22223,74.0,185.0,Brazil,74.0,185.0,78.0,Orthodox,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,9.83,24121,71.0,185.0,United States,71.0,185.0,77.0,Southpaw,2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,8.7,32.65708419,34.080766600000004,0,-1.423682410000005,1.0,0.0,3.0,4,4,1,1,0,3,0,-1,2,0.5,1,1,1
2936,42193,4,4/25/15,David Michaud,Olivier Aubin-Mercier,loss,win,53778,86241,Submission,3,1:26,2,1,1,1,0,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,53778,69.0,155.0,United States,69.0,155.0,72.0,Orthodox,3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7,13.25,86241,69.0,155.0,Canada,69.0,155.0,70.0,Southpaw,2.91,0.53,2.96,0.57,2.99,0.32,0.83,0.7,11.81,26.45311431,26.16563997,0,0.2874743399999993,2.0,0.0,0.0,0,0,0,-1,0,1,0,0,0,0.0,1,-1,0
2333,31869,9,10/9/13,Dong Hyun Kim,Erick Silva,win,loss,16374,15009,KO,2,3:01,11,8,2,2,0,5,3,2,1,0,0,1,7,0,2,0,2,1,0,0,0,1,16374,73.0,170.0,South Korea,71.0,155.0,70.0,Orthodox,3.3,0.45,5.25,0.5,2.41,0.6,0.33,0.0,12.84,15009,71.0,170.0,Brazil,72.0,170.0,74.0,Orthodox,2.65,0.5,4.27,0.45,1.07,0.46,0.59,1.8,11.79,31.89322382,29.30047912,1,2.592744700000001,-4.0,0.0,2.0,6,5,0,-2,0,7,0,2,-1,-1.8,8,-2,-2
2827,40613,11,12/20/14,Mitch Gagnon,Renan Barao,loss,win,37404,23156,Submission,3,3:53,5,4,1,4,0,8,7,1,0,1,2,0,1,1,0,0,2,2,3,0,1,0,37404,66.0,135.0,Canada,65.0,135.0,65.0,Southpaw,3.18,0.48,2.13,0.63,1.43,0.26,0.67,1.9,10.68,23156,67.0,135.0,Brazil,66.0,145.0,70.0,Orthodox,3.64,0.34,3.5,0.6,1.46,0.43,0.97,0.6,11.54,30.19301848,27.88501027,0,2.3080082100000006,-5.0,0.0,-1.0,-3,-3,0,0,-2,-2,1,-1,0,1.2999999999999998,-2,-1,-1
1071,9529,10,5/23/09,Matt Serra,Matt Hughes,loss,win,1305,232,Decision,3,5:00,11,6,5,0,1,20,15,5,0,2,1,1,4,0,2,3,4,7,4,3,2,0,1305,66.0,170.0,United States,66.0,170.0,68.0,Orthodox,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,9.0,232,69.0,170.0,United States,69.0,170.0,73.0,Switch,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,9.56,34.97330595,35.60848734,0,-0.6351813900000067,-5.0,0.0,-3.0,-9,-9,0,-3,-6,0,-3,0,3,-0.29999999999999993,-3,0,-6
1062,9448,10,4/1/09,Carmelo Marrero,Ryan Bader,loss,win,12855,22858,Decision,3,5:00,3,1,2,0,2,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,12855,74.0,255.0,United States,72.0,205.0,73.0,Orthodox,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,8.59,22858,74.0,205.0,United States,74.0,205.0,74.0,Orthodox,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,10.36,28.1779603,25.81793292,0,2.3600273799999982,-1.0,50.0,0.0,2,0,2,0,-1,1,2,0,0,0.5,1,-2,-1
2662,37361,10,8/23/14,Mike Pyle,Jordan Mein,loss,win,4577,6749,TKO,1,1:12,13,9,4,1,0,3,2,1,1,0,1,4,3,1,3,0,0,1,1,0,1,0,4577,73.0,170.0,United States,72.0,170.0,74.0,Orthodox,2.76,0.46,2.75,0.61,1.82,0.35,0.7,1.6,11.05,6749,71.0,170.0,Canada,72.0,170.0,73.0,Orthodox,3.91,0.44,2.97,0.7,1.18,0.7,0.6,0.0,10.5,38.92950034,24.867898699999998,0,14.06160164,1.0,0.0,2.0,10,7,3,1,3,2,1,2,0,1.6,2,0,1
2897,42185,11,3/21/15,Erick Silva,Josh Koscheck,win,loss,15009,9418,Submission,1,4:21,9,5,4,1,0,24,15,9,0,4,2,2,0,0,2,1,4,5,6,1,3,4,15009,71.0,170.0,Brazil,72.0,170.0,74.0,Orthodox,2.65,0.5,4.27,0.45,1.07,0.46,0.59,1.8,11.79,9418,70.0,170.0,United States,70.0,170.0,73.0,Orthodox,1.79,0.36,2.27,0.63,2.46,0.48,0.64,0.4,9.03,30.74606434,37.30321697,1,-6.557152630000001,1.0,0.0,1.0,-15,-10,-5,-2,-3,-6,-1,-1,-3,1.4,-3,-1,-2
2864,41893,3,2/28/15,Derrick Lewis,Ruan Potts,win,loss,59284,75842,TKO,2,3:18,3,2,1,0,1,2,0,2,0,2,0,2,0,0,1,0,0,0,0,0,2,0,59284,75.0,264.0,United States,75.0,260.0,79.0,Orthodox,3.32,0.54,1.23,0.49,0.72,0.33,0.57,0.0,7.2,75842,74.0,251.0,South Africa,74.0,247.0,75.0,Orthodox,0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3,10.9,30.05612594,37.01300479,1,-6.956878849999995,4.0,13.0,1.0,1,2,-1,0,2,0,0,-1,0,-2.3,0,0,3
2970,42199,3,5/23/15,Colby Covington,Mike Pyle,win,loss,57269,4577,Decision,3,5:00,2,2,0,2,0,14,9,5,0,1,2,0,0,0,0,0,1,4,3,1,4,0,57269,71.0,169.0,United States,71.0,170.0,72.0,Orthodox,2.51,0.51,1.43,0.6,6.79,0.54,0.0,0.4,12.78,4577,73.0,170.0,United States,72.0,170.0,74.0,Orthodox,2.76,0.46,2.75,0.61,1.82,0.35,0.7,1.6,11.05,27.24709103,39.67693361,1,-12.429842579999999,-2.0,-1.0,-2.0,-12,-7,-5,1,-4,-3,-1,-4,0,-1.2000000000000002,-3,2,0
1214,11741,7,2/6/10,Matt Serra,Frank Trigg,win,loss,1305,311,TKO,1,2:23,12,6,6,0,2,6,2,4,0,3,1,1,4,0,2,4,0,2,0,3,1,0,1305,66.0,170.0,United States,66.0,170.0,68.0,Orthodox,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,9.0,311,68.0,181.0,United States,69.0,170.0,71.0,Southpaw,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,10.08,35.68240931,37.7522245,1,-2.06981519,-3.0,-11.0,-2.0,6,4,2,1,-1,4,-3,1,4,0.09999999999999998,0,4,-2
2986,42203,4,6/6/15,Chris Wade,Christos Giagos,win,loss,79335,68130,Decision,3,5:00,2,2,0,2,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,79335,69.0,155.0,United States,70.0,155.0,70.0,Orthodox,1.74,0.54,1.81,0.48,2.51,0.57,0.58,0.9,9.13,68130,70.0,155.0,United States,70.0,155.0,71.0,Orthodox,2.16,0.38,1.68,0.47,0.65,0.2,0.37,0.7,6.61,27.68240931,25.36618754,1,2.316221770000002,-1.0,0.0,-1.0,0,1,-1,-1,0,1,-1,0,0,0.20000000000000007,1,0,0
