,eid,mid,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL,fid_1,height_1,weight_1,country_1,Height_1,Weight_1,Reach_1,Stance_1,SLpM_1,Str. Acc_1,SApM_1,Str. Def_1,TD Avg_1,TD Acc_1,TD Def_1,Sub. Avg_1,Metrictst_1,fid_2,height_2,weight_2,country_2,Height_2,Weight_2,Reach_2,Stance_2,SLpM_2,Str. Acc_2,SApM_2,Str. Def_2,TD Avg_2,TD Acc_2,TD Def_2,Sub. Avg_2,Metrictst_2,f1Age,f2Age,result,Age,Reach,weight,height,fightdif,windif,lossdif,subdif,KOdif,Decdif,subldif,KOldif,Decldif,subavg,decexp,subexp,KOexp
2988,42203,2,6/6/15,Ricardo Abreu,Jake Collier,loss,win,82392,83599,Decision,3,5:00,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,82392,71.0,185.0,Brazil,71.0,185.0,73.0,Orthodox,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,13.01,83599,75.0,185.0,United States,75.0,205.0,78.0,Orthodox,3.98,0.38,3.19,0.56,1.37,0.33,0.66,0.5,10.97,31.10746064,26.61738535,0,4.49007529,-5.0,0.0,-4.0,0,1,-1,1,0,0,0,-1,0,0.19999999999999996,0,1,1
2387,32773,10,2/1/14,Frank Mir,Alistair Overeem,loss,win,2329,461,Decision,3,5:00,22,14,8,0,3,3,1,2,0,2,5,3,2,0,7,1,0,1,0,0,2,0,2329,75.0,262.0,United States,75.0,264.0,79.0,Southpaw,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,11.83,461,77.0,257.0,Netherlands,76.0,265.0,80.0,Orthodox,3.82,0.61,1.79,0.62,1.55,0.64,0.76,1.0,10.79,34.69404517,33.71115674,0,0.9828884300000027,-1.0,5.0,-2.0,19,13,6,5,2,2,0,5,1,1.0,1,5,-3
1117,10147,3,8/29/09,Tim Hague,Todd Duffee,loss,win,19599,22903,KO,1,0:07,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19599,76.0,264.0,Canada,76.0,260.0,76.0,Orthodox,2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9,11.66,22903,75.0,241.0,United States,75.0,260.0,79.0,Orthodox,5.58,0.35,2.61,0.6,0.0,0.0,0.9,0.0,10.04,25.98220397,23.72895277,0,2.253251200000001,-3.0,23.0,1.0,1,1,0,1,0,0,0,0,0,0.9,0,1,0
1736,19039,10,1/28/12,Phil Davis,Rashad Evans,loss,win,27802,10200,Decision,5,5:00,5,5,0,5,0,13,11,1,3,0,2,0,3,0,0,0,0,5,6,0,1,0,27802,74.0,205.0,United States,74.0,205.0,79.0,Orthodox,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,9.93,10200,71.0,205.0,United States,72.0,185.0,75.0,Orthodox,2.19,0.37,2.39,0.64,3.04,0.46,0.73,0.0,9.82,27.34017796,32.34223135,0,-5.00205339,4.0,0.0,3.0,-8,-6,-1,2,-5,-3,0,-1,0,0.6,-3,2,-4
1385,14430,2,11/13/10,Seth Petruzelli,Karlos Vemola,loss,win,2738,40238,TKO,1,3:46,3,0,3,0,3,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,2738,72.0,205.0,United States,72.0,205.0,76.0,Orthodox,2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3,8.94,40238,72.0,205.0,Czech Republic,72.0,185.0,75.0,Orthodox,1.67,0.44,2.13,0.37,1.93,0.25,0.31,1.7,8.8,30.94592745,25.36892539,0,5.577002059999998,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0.5999999999999999,0,-2,0
3063,42219,5,7/25/15,Eddie Wineland,Bryan Caraway,loss,win,4173,13791,Decision,3,5:00,7,3,4,0,1,6,4,2,0,1,0,2,1,0,2,2,4,0,0,0,0,2,4173,67.0,135.0,United States,67.0,135.0,69.0,Orthodox,3.36,0.29,3.42,0.71,0.34,0.33,0.85,0.2,9.5,13791,69.0,135.0,United States,68.0,135.0,68.0,Orthodox,2.25,0.33,3.07,0.57,2.82,0.34,0.8,0.9,11.08,31.07734428,30.970568100000005,0,0.10677617999999356,1.0,0.0,-2.0,1,-1,2,-4,2,1,0,2,0,-0.7,1,-4,0
3153,42241,7,11/21/15,Taylor Lapilus,Erik Perez,loss,win,97337,35509,Decision,3,5:00,2,2,0,2,0,6,4,2,0,1,0,1,1,0,0,0,0,2,1,1,0,1,97337,66.0,135.0,France,66.0,135.0,73.0,Southpaw,3.77,0.45,2.0,0.61,0.58,0.4,0.81,0.6,9.22,35509,68.0,135.0,Mexico,68.0,135.0,68.0,Orthodox,3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2,10.91,23.61943874,26.00410678,0,-2.384668040000001,5.0,0.0,-2.0,-4,-2,-2,0,-1,0,-1,0,-1,0.39999999999999997,1,1,-1
3260,47933,6,1/30/16,Dustin Ortiz,Wilson Reis,loss,win,58097,23401,Decision,3,5:00,6,4,2,1,0,5,3,2,0,1,0,2,2,0,0,2,1,0,2,0,0,2,58097,65.0,125.0,United States,65.0,125.0,65.0,Orthodox,3.02,0.45,2.33,0.54,2.4,0.31,0.55,0.1,9.7,23401,64.0,125.0,Brazil,64.0,125.0,65.0,Southpaw,2.15,0.37,2.12,0.62,5.51,0.46,0.53,0.8,12.56,27.09650924,31.06365503,0,-3.96714579,0.0,0.0,1.0,1,1,0,-1,2,0,0,0,0,-0.7000000000000001,0,-1,2
2515,35505,5,6/14/14,Elizabeth Phillips,Valerie Letourneau,loss,win,83021,21851,Decision,3,5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83021,66.0,135.0,United States,66.0,135.0,65.0,Orthodox,2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2,8.31,21851,67.0,116.0,Canada,67.0,115.0,68.0,Orthodox,4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3,13.04,27.816564,31.1266256,0,-3.310061600000001,-3.0,19.0,-1.0,0,0,0,0,0,0,0,0,0,-0.09999999999999998,0,0,0
2798,39291,1,1/31/15,Andy Enz,Thiago Santos,loss,win,61422,90021,TKO,1,1:56,2,0,2,0,2,3,1,2,0,1,0,0,0,0,0,2,0,1,0,1,0,1,61422,75.0,185.0,United States,75.0,185.0,78.0,Orthodox,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0,10.21,90021,72.0,183.0,Brazil,72.0,185.0,76.0,Orthodox,3.35,0.44,2.15,0.67,0.57,0.28,0.72,0.0,8.18,23.46338125,31.06639288,0,-7.6030116299999975,2.0,2.0,3.0,-1,-1,0,0,-1,0,-1,0,1,0.0,-1,1,-1
