id,B_ID,First Name_B,Last Name_B,Full_Name_B,B_Weight,B_Age,Weight_B,Height_B,Reach_B,Stance_B,R_ID,First Name_R,Last Name_R,Full_Name_R,R_Age,R_Height,R_Weight,Height_R,Weight_R,Reach_R,R_Wrestling,R_BJJ,R_Boxing,R_Kickboxing,R_MuayTai,R_Freestyle,R_Sambo,R_Karate,R_Judo,Stance_R,winby,winner,Record_B,Wins_B,Losses_B,Draws_B,Record_R,Wins_R,Losses_R,Draws_R,BPrev,BStreak,B_Location,Event_ID,B_Wrestling,B_BJJ,B_Boxing,B_Kickboxing,B_MuayTai,B_Freestyle,B_Sambo,B_Karate,B_Judo,Full_Name__B,SLpM__B,StrAcc__B,SApM__B,StrDef__B,TDAvg__B,TDAcc__B,TDDef__B,SubAvg__B,Full_Name__R,SLpM__R,StrAcc__R,SApM__R,StrDef__R,TDAvg__R,TDAcc__R,TDDef__R,SubAvg__R
12,1340,Drew,Dober,Drew Dober,70,29,155,68,70,Southpaw,530,Jamie,Varner,Jamie Varner,33,172,70,68,155,72,1,0,0,0,0,0,0,0,0,Orthodox,SUB,blue,17-8-0,17,8,0,21-11-1,21,11,1,1,0,"Denver, Colorado United States",695,0,0,0,0,1,0,0,0,0,Drew Dober,3.33,0.33,3.99,0.55,1.15,0.16,0.66,0.2,Jamie Varner,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8
13,1096,James,Krause,James Krause,70,32,155,74,73,Orthodox,530,Jamie,Varner,Jamie Varner,33,172,70,68,155,72,1,0,0,0,0,0,0,0,0,Orthodox,KO/TKO,blue,23-7-0,23,7,0,21-11-1,21,11,1,0,0,"Lees Summit, Missouri USA",664,0,1,0,0,0,0,0,0,0,James Krause,4.25,0.43,4.36,0.6,1.17,0.17,0.26,0.7,Jamie Varner,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8
14,2013,Abel,Trujillo,Abel Trujillo,70,35,155,68,70,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,SUB,red,15-7-0,15,7,0,23-3-0,23,3,0,1,1,"Boca Raton, Florida United States",690,1,0,0,0,0,0,0,0,0,Abel Trujillo,2.77,0.42,2.17,0.6,2.38,0.51,0.4,0.5,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
15,1069,Anthony,Pettis,Anthony Pettis,70,31,145,70,72,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,KO/TKO,red,19-6-0,19,6,0,23-3-0,23,3,0,9,1,"Milwaukee, Wisconsin United States",887,0,1,0,0,0,0,0,1,0,Anthony Pettis,2.62,0.42,2.69,0.57,0.78,0.52,0.6,1.1,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
16,1061,Danny,Castillo,Danny Castillo,70,39,155,69,71,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,DEC,red,17-10-0,17,10,0,23-3-0,23,3,0,1,1,"Sacramento, California USA",677,1,1,0,0,0,0,0,0,0,Danny Castillo,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
17,514,Gleison,Tibau,Gleison Tibau,70,35,155,70,71,Southpaw,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,SUB,red,40-12-0,40,12,0,23-3-0,23,3,0,3,3,"Coconut Creek, Florida United States",700,1,1,0,0,0,0,0,0,0,Gleison Tibau,1.95,0.33,2.37,0.63,4.3,0.54,0.92,0.9,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
18,941,Katsunori,Kikuno,Katsunori Kikuno,65,36,145,68,66,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,KO/TKO,red,23-8-2,23,8,2,23-3-0,23,3,0,1,1,Tokyo Japan,664,0,0,0,0,0,0,0,1,1,Katsunori Kikuno,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
19,2157,Kevin,Lee,Kevin Lee,70,26,155,69,77,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,SUB,red,15-2-0,15,2,0,23-3-0,23,3,0,11,5,"Las Vegas, Nevada United States",843,1,0,0,0,0,0,0,0,0,Kevin Lee,3.55,0.4,3.08,0.53,3.49,0.4,0.73,1.4,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
20,2784,Lando,Vannata,Lando Vannata,70,26,155,69,71,Orthodox,1815,Tony,Ferguson,Tony Ferguson,34,180,70,71,155,76,1,0,0,0,0,0,0,0,0,Orthodox,SUB,red,9/2/00,9,2,0,23-3-0,23,3,0,0,0,"Albuquerque, New Mexico United States",781,1,0,0,0,0,0,0,0,0,Lando Vannata,5.24,0.44,6.95,0.48,0.62,0.33,0.71,0,Tony Ferguson,5.23,0.42,3.43,0.65,0.71,0.42,0.81,1.5
21,2013,Abel,Trujillo,Abel Trujillo,70,35,155,68,70,Orthodox,514,Gleison,Tibau,Gleison Tibau,35,177,70,70,155,71,1,1,0,0,0,0,0,0,0,Southpaw,SUB,blue,15-7-0,15,7,0,40-12-0,40,12,0,2,0,"Boca Raton, Florida United States",749,1,0,0,0,0,0,0,0,0,Abel Trujillo,2.77,0.42,2.17,0.6,2.38,0.51,0.4,0.5,Gleison Tibau,1.95,0.33,2.37,0.63,4.3,0.54,0.92,0.9
