eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
10,10,UFC 4 - Revenge of the Warriors,12/16/94,Dan Severn,Royce Gracie,loss,win,52,19,Submission,1,15:49,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
10,9,UFC 4 - Revenge of the Warriors,12/16/94,Jason Fairn,Guy Mezger,loss,win,48,14,TKO,1,2:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,UFC 4 - Revenge of the Warriors,12/16/94,Dan Severn,Marcus Bossett,win,loss,52,54,Submission,1,0:52,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,7,UFC 4 - Revenge of the Warriors,12/16/94,Keith Hackney,Royce Gracie,loss,win,38,19,Submission,1,5:32,1,1,0,1,0,9,9,0,9,0,0,1,0,0,0,0,9,0,0,0,0,0
10,6,UFC 4 - Revenge of the Warriors,12/16/94,Dan Severn,Anthony Macias,win,loss,52,53,Submission,1,1:45,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,5,UFC 4 - Revenge of the Warriors,12/16/94,Melton Bowen,Steve Jennum,loss,win,51,44,Submission,1,4:47,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,4,UFC 4 - Revenge of the Warriors,12/16/94,Joe Son,Keith Hackney,loss,win,50,38,Submission,1,2:44,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
10,3,UFC 4 - Revenge of the Warriors,12/16/94,Royce Gracie,Ron van Clief,win,loss,19,49,Submission,1,3:59,10,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
10,2,UFC 4 - Revenge of the Warriors,12/16/94,Eldo Dias Xavier,Marcus Bossett,loss,win,55,54,KO,1,4:55,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,1,UFC 4 - Revenge of the Warriors,12/16/94,Kevin Rosier,Joe Charles,loss,win,17,46,Submission,1,0:14,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
